method,epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_balanced_accuracy,val_macro_f1,mean_gradient_norm,learning_rate,epoch_seconds,checkpoint_saved
orthogonal,1,0.7811681707259862,0.5410806327146729,0.7966120220833136,0.8717975862799069,0.7268481964591404,0.4776784271999949,inf,0.001,30.01184039999498,True
orthogonal,2,0.48031705703330557,0.4178471875115473,0.8765330765058539,0.902421419359806,0.7420068007703405,0.5276647442418353,1.032075770859477,0.001,28.77919460000703,True
orthogonal,3,0.4264755194739672,0.33859163873443876,0.8908971294579606,0.9023348026100514,0.7470402569739475,0.5368708985192034,1.034810545763889,0.001,29.27895399997942,True
orthogonal,4,0.3711279313439548,0.33714278414953025,0.8990144176732503,0.9056069909341136,0.7476684249614024,0.5337347518460455,1.0472935809113306,0.001,26.426302899955772,True
orthogonal,5,0.3538441578377689,0.3140361067052847,0.9040361648287966,0.9126036994976229,0.7730377735956636,0.5725218537822877,inf,0.001,22.33332309999969,True
orthogonal,6,0.3409786344469778,0.26723411317100226,0.9081525538729323,0.9152406983234846,0.7789685663159616,0.5765023560738874,1.5486541050270137,0.001,21.8697727000108,True
orthogonal,7,0.31651710406387107,0.26880937699755053,0.910278804927293,0.9096972263391911,0.768139627401144,0.5689742220082818,1.8305830527332765,0.001,18.88536399998702,False
orthogonal,8,0.29205139701482186,0.23380705058268353,0.9134547764342914,0.913219640829211,0.7780751991368566,0.5774487954964627,2.1414171668547617,0.001,23.810902500001248,True
orthogonal,9,0.2804025284817617,0.2244529534223286,0.9152861158487166,0.9194849190614593,0.7813478923993374,0.5883229644403388,2.141094098111245,0.001,25.121404799981974,True
orthogonal,10,0.24502168746394032,0.21657651010511736,0.9177279017346166,0.9224202644698093,0.7858982148792951,0.6015428404159274,2.2789516535112124,0.001,25.880093800020404,True
orthogonal,11,0.2448672243756792,0.1812377342764224,0.9193530092330029,0.9178199526495101,0.9494633204174386,0.6768126130890556,2.4230011560117144,0.001,21.352070300024934,True
orthogonal,12,0.20880070255007352,0.17015589468679196,0.9202686789402155,0.922381768136585,0.9511328074510764,0.6866358670571063,2.223073510303779,0.001,27.30446839996148,True
orthogonal,13,0.21357912307330224,0.16343012222554795,0.92278677063505,0.9228533482185822,0.9536515924712828,0.7720242751276624,2.318627658083972,0.001,30.057836499996483,True
orthogonal,14,0.19685321026663855,0.1617755343437314,0.9259173711205199,0.9250765114622832,0.9523248921372575,0.6844156623188703,inf,0.001,31.17276960000163,True
orthogonal,15,0.1894942873469044,0.15587527633626552,0.927647656896086,0.9367890208457644,0.9545755351848907,0.7435042003106336,2.229417354937344,0.001,29.119543400011025,True
orthogonal,16,0.1890839145669031,0.15732845267008064,0.9302771138255814,0.935383904683079,0.9533397212100675,0.7575669574980339,inf,0.001,29.016834900015965,False
orthogonal,17,0.18427780181487452,0.14696241164646637,0.9326590924558302,0.934941196851,0.9548000444522287,0.7608192068963677,inf,0.001,28.58394619997125,True
orthogonal,18,0.18029709067449762,0.14462033401813104,0.9352576145979199,0.9630050237714858,0.9622671778288979,0.8027408444751676,2.4354564147345124,0.001,28.525245899974834,True
orthogonal,19,0.169725379959258,0.13721785090819677,0.9395864225155757,0.9503878505572344,0.9625080170491662,0.8311333742980205,2.1895244142299966,0.001,28.81343320000451,True
orthogonal,20,0.16452325087134262,0.15075428618140288,0.9414569459940482,0.9360672145978095,0.9553069960998046,0.663056871529046,2.3242312680756996,0.001,28.91000679996796,False
orthogonal,21,0.1638556232985797,0.1397897452290973,0.9447607812889908,0.9567397455392374,0.9582971797483436,0.75452439568642,2.159255516554233,0.001,30.132810699986294,False
orthogonal,22,0.16949222394811903,0.1353212917047573,0.946396200383179,0.951513868304044,0.9624544352000397,0.8324256395866095,2.1846705297251794,0.001,30.58106090000365,True
orthogonal,23,0.15634650898950134,0.13076816990986193,0.9462972090634802,0.9633611148538102,0.9652187921627977,0.7845879685942417,2.1356565470685434,0.001,29.69814180000685,True
orthogonal,24,0.155274209882607,0.12835172498209874,0.9488524225032018,0.9586934344503686,0.963473620817215,0.7959593246598905,2.2495874631521193,0.001,28.58572540001478,True
orthogonal,25,0.15415835738615866,0.12369481657367444,0.9505682720446451,0.9584913287009412,0.9685130765514748,0.7897150308053028,inf,0.001,28.79087900003651,True
orthogonal,26,0.14886546543244744,0.12344010561653582,0.9507394445349573,0.9549977864608397,0.962815008892082,0.7897783104778537,2.208589130596018,0.001,29.7938404000015,True
orthogonal,27,0.14841899141949508,0.12154741555511432,0.9519912722653132,0.9671530036763998,0.9697263033113722,0.8751314399584443,inf,0.001,29.857130600023083,True
orthogonal,28,0.16374790570718567,0.11879551171926053,0.9521603824364651,0.9541027467133756,0.9692793939691797,0.7628630832724257,2.5435967176429584,0.001,30.829097700014245,True
orthogonal,29,0.1437908889783475,0.11671600924064489,0.9535400739547651,0.9545647027120667,0.9687276172076783,0.8498540326386665,2.349012003826441,0.001,24.041195500001777,True
orthogonal,30,0.14390585156415342,0.12680615728368128,0.9511910924310825,0.9580774931187804,0.9680202899808826,0.7966458341112995,2.3429497087822306,0.001,26.564124099968467,False
orthogonal,31,0.14103645183730149,0.12259743864184346,0.9524161100123533,0.9676342078417031,0.9701787889719738,0.8365113714756262,2.380574115862449,0.001,27.57195320003666,False
orthogonal,32,0.1415136495065203,0.11390192728447547,0.9541979537669291,0.9567782418724616,0.9679955432523101,0.8238209861068865,,0.001,27.542483099969104,True
orthogonal,33,0.17651388293731743,0.11237674170829214,0.9539236653185974,0.9613304332762305,0.9712357549557861,0.8031884666021404,inf,0.001,27.45625089999521,True
orthogonal,34,0.13646985724062258,0.11443841826303552,0.9539463508293616,0.9576347852867014,0.9686289992919607,0.8514768301587013,2.4263705419462944,0.001,27.93356069998117,False
orthogonal,35,0.14085723224343044,0.11644529942131625,0.9578771311490624,0.9576251612033954,0.9706393486826821,0.8031334504506585,2.741751259460039,0.001,32.54198139999062,False
orthogonal,36,0.13372889935399263,0.11462612778359679,0.9561571569692983,0.9578368910361288,0.9683438782062547,0.8196557746805616,2.2591633992937674,0.001,29.410051700018812,False
orthogonal,37,0.13117071534702376,0.10913755503523039,0.9572254382943796,0.9583180952014321,0.9705794612405962,0.758928589024143,2.2076077569700496,0.001,24.346599799988326,True
orthogonal,38,0.13323010524293863,0.11219702780698763,0.9570769513148316,0.9565280157065039,0.9692520679586177,0.8024400033590237,2.3141685673644776,0.001,23.203239399997983,False
orthogonal,39,0.13249661693347609,0.11378974459470644,0.9571553194429263,0.9641310415182954,0.96956873607988,0.8160440090165478,2.370662457290015,0.001,25.542316999984905,False
orthogonal,40,,0.11006852337190319,0.9575904687857684,0.9625334436894886,0.9697980877975075,0.8565262042420275,,0.001,24.44039890001295,False
orthogonal,41,0.12601373178186406,0.11195849651306253,0.9584339573223672,0.9689623313379401,0.9724561827659808,0.8792020568397901,2.198827471332585,0.001,23.840679100016132,False
orthogonal,42,0.1287645911351956,0.10583835741845948,0.958930976240021,0.9649779608492292,0.97058078798949,0.8391344043126407,2.1944134416773853,0.001,23.57072870002594,True
orthogonal,43,0.16507444149024028,0.11043697711385561,0.9597043459251667,0.9672107481762362,0.9717343607495431,0.884071813443113,inf,0.001,22.235615100013092,False
orthogonal,44,0.13850125587221315,0.11124430699997627,0.9583494022367913,0.9629184070217311,0.9713330419000837,0.800602902663699,2.8693694701803385,0.001,21.046115999983158,False
orthogonal,45,,0.10686667073088023,0.9585370732803867,0.9629087829384251,0.970679203222217,0.8305175474878066,,0.001,27.157046400010586,False
orthogonal,46,,0.104483481324839,0.9593496270295798,0.9658056320135507,0.9716615030807801,0.8773738263339212,,0.001,24.828360599989537,True
orthogonal,47,,0.10598433208265261,0.9600116314800646,0.9638711912690316,0.9701235521653436,0.7447673851112614,,0.001,25.08724299998721,False
orthogonal,48,,0.10938324852597621,0.961133533103316,0.9639578080187862,0.9697303509608636,0.8197142815565933,,0.001,24.223897200019564,False
orthogonal,49,,0.10876134388408214,0.9612242751463731,0.9756895655688795,0.9697955015088541,0.9026080092701251,,0.001,27.211422399966978,False
orthogonal,50,,0.11200546952842132,0.9604302822696235,0.9670471387600331,0.9699140276283688,0.8439630691387707,,0.001,28.30163940001512,False
orthogonal,51,,0.10835142224666265,0.960263234417632,0.9616191557754123,0.9694406047504565,0.8276013960470294,,0.001,25.773633699980564,False
orthogonal,52,,0.10877439043797137,0.9625214738982576,0.9665659345947298,0.9721169644104918,0.8194203291594624,,0.0005,25.799297799996566,False
orthogonal,53,,0.2018344236473889,0.9323332460284889,0.8318480164764306,0.9167468467082559,0.6348957544474448,,0.0005,25.157599799975287,False
orthogonal,54,,0.2842589156526878,0.8221497202464059,0.8204531018420496,0.9135110526603861,0.5942270791342291,,0.0005,29.79480319999857,False
orthogonal,55,,0.2850650347386499,0.8144469581823544,0.823176717417666,0.9141365917232775,0.4778028416328821,,0.0005,21.75120879994938,False
orthogonal,56,,0.2849750265267128,0.8146181306726666,0.8232152137508902,0.9141466919682085,0.47789061645141406,,0.0005,22.163126199971884,False
orthogonal,57,,0.2849750265267128,0.8145851335661004,0.8232152137508902,0.9141466919682085,0.47789061645141406,,0.00025,21.705225999990944,False
orthogonal,58,,0.2849750265267128,0.8147563060564127,0.8232152137508902,0.9141466919682085,0.47789061645141406,,0.00025,24.242997399996966,False
orthogonal,59,,0.2849750265267128,0.8146614393750348,0.8232152137508902,0.9141466919682085,0.47789061645141406,,0.00025,22.552065500000026,False
orthogonal,60,,0.2849750265267128,0.8146964988007614,0.8232152137508902,0.9141466919682085,0.47789061645141406,,0.00025,27.594790099945385,False
orthogonal,61,,0.2849750265267128,0.8146820625666387,0.8232152137508902,0.9141466919682085,0.47789061645141406,,0.00025,26.839978300035,False
