method,epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_balanced_accuracy,val_macro_f1,mean_gradient_norm,learning_rate,epoch_seconds,checkpoint_saved
sparse,1,0.757020568154661,0.5113468999213586,0.7993714051199136,0.8721729255288434,0.7285139639913796,0.5046164363121518,inf,0.001,25.499464299995452,True
sparse,2,0.471957414966307,0.4080200605112359,0.8786820130709788,0.9042499951879583,0.7434226648825674,0.545890418402783,1.042613619490515,0.001,27.99175370001467,True
sparse,3,0.4286924194094645,0.3344363795521927,0.8939864835602228,0.905818720766847,0.7450555221285106,0.5523714549065376,1.0515118578315283,0.001,27.336576899979264,True
sparse,4,0.36806515320827565,0.3443655159522385,0.9020171543707761,0.9097838430889458,0.7472405750212548,0.5598222983945333,0.9506523117485932,0.001,28.653609300032258,False
sparse,5,0.3671881432486342,0.3156554879643581,0.9075812914655046,0.9112852000846919,0.7484268961115846,0.5628108755776788,inf,0.001,26.60189409996383,True
sparse,6,0.3450381204059563,0.2878885725048273,0.9127288400898346,0.917213635401228,0.750159437669541,0.5785588159347894,1.0103434896418817,0.001,28.804824499995448,True
sparse,7,0.321652455074334,0.2909122657313984,0.9167111783885451,0.9171847631513098,0.7513891186703838,0.5781849814025161,0.9878088418504357,0.001,28.594103000010364,False
sparse,8,0.3098163861886159,0.26435738728558933,0.9203800441748764,0.93317998960599,0.7510677052092288,0.605724501469243,1.033770642954589,0.001,29.043162500020117,True
sparse,9,0.3133229850412472,0.2619085291686045,0.9228012068691727,0.9349700691009182,0.7550795980313129,0.6108050011278617,inf,0.001,27.998746199999005,True
sparse,10,0.2861850478719422,0.259344351573199,0.924321136090379,0.9375685715935557,0.7533613513553657,0.6175549206762142,1.2390735144353617,0.001,28.142582100001164,True
sparse,11,0.280006213037618,0.21431491491097177,0.9263896422082488,0.9290416337843821,0.9468842996508879,0.7843493950331943,1.3990593499775175,0.001,26.91040370002156,True
sparse,12,0.2495811434245049,0.18625046586234528,0.9278621380887664,0.9273477951225145,0.94469541960787,0.7254319791981009,1.531062286740114,0.001,22.49818100000266,True
sparse,13,0.2384566430708748,0.17162525840960502,0.9319970880053455,0.9391950416722807,0.9481308553397824,0.747743761216325,1.7069422281366864,0.001,27.799594899988733,True
sparse,14,0.22427009620030466,0.17336301288012648,0.9359959248573391,0.9360768386811156,0.9525326383669488,0.7308024210400298,1.8437418712593836,0.001,29.24063690000912,False
sparse,15,0.20709256881785598,0.1672370983193938,0.9397080993460386,0.9442861817411892,0.9495294124496317,0.7420607098842794,inf,0.001,32.44165160000557,True
sparse,16,0.20816270411086468,0.16112405767299084,0.9421436982744575,0.9496371720593614,0.9546762228877875,0.7574672014612376,1.9485334445278353,0.001,25.178902699961327,True
sparse,17,0.1897894180998059,0.15561124030427154,0.945292859632371,0.9504263468904587,0.9538778350634217,0.7683532237553332,1.8487082123756409,0.001,24.944498500030022,True
sparse,18,0.19025919629687701,0.1534654172932409,0.9467076105763976,0.961272688776394,0.9584002537290557,0.7679991391537557,1.88164862503891,0.001,27.392803900002036,True
sparse,19,0.1863231024845412,0.15690021976110666,0.9490380312276367,0.949435066309934,0.9551686507535645,0.7554009870247197,1.9088489722287605,0.001,25.97536579996813,False
sparse,20,0.17740580506106218,0.1481754001013237,0.9494711182513184,0.9516389813870229,0.9598109306239392,0.7822496205050921,inf,0.001,33.09295530000236,True
sparse,21,0.1772358351770262,0.14961311718698136,0.9494731805704787,0.9518218389698381,0.9584965462899122,0.804986075536878,1.9593716678582918,0.001,28.988091100007296,False
sparse,22,0.17473447734351322,0.14253998199750664,0.951098288068865,0.9511289049718015,0.9590654721539504,0.7726127581268455,1.920203974761289,0.001,29.332393000018783,True
sparse,23,0.17080866457279353,0.14054903572448657,0.9515334374117069,0.9619559986911247,0.9574986200764465,0.7890137929499085,1.8743996940521752,0.001,31.44820189999882,True
sparse,24,0.17039589195966184,0.13966867715011896,0.9519541505204262,0.9654687890978384,0.96053604928889,0.8290514084066408,2.0258615368403463,0.001,33.774846100015566,True
sparse,25,0.16323427964179835,0.13959988544226504,0.952467667991363,0.9561334282909553,0.9597008017557259,0.7359555864865183,1.9143332997926428,0.001,28.99842710001394,True
sparse,26,0.17189012590330158,0.13239282965338856,0.9535751333804917,0.9534386849652571,0.9616977046285026,0.7399155896082535,inf,0.001,29.48438520001946,True
sparse,27,0.15808729420049142,0.13293400701516367,0.9535400739547651,0.9660943545127326,0.9687906902471166,0.7986197321678693,1.962846870820985,0.001,29.32033739995677,False
sparse,28,0.1557508456041024,0.13180981332559644,0.9548537712599326,0.954622447211903,0.9670184068388686,0.7595394048547374,1.9371803586886025,0.001,29.212107600003947,True
sparse,29,0.15250639514217823,0.1306354935925553,0.9550476292610092,0.9549304178776972,0.9610558985322175,0.7766475823135446,1.9812468049364,0.001,22.694755299948156,True
sparse,30,0.1540261595433724,0.12594328787348244,0.955604455434314,0.9674224780089696,0.9675737160350134,0.7647327913746435,1.8436637619345249,0.001,24.74973719997797,True
sparse,31,0.15704483699694935,0.13129579115069512,0.9551507452190287,0.966585182761342,0.9675303850139617,0.7944521526671032,inf,0.001,27.93752169999061,False
sparse,32,0.15102808315672853,0.12018479315022557,0.9561055989902886,0.9676053355917849,0.970387660348559,0.8032974690846925,1.8819851296470513,0.001,29.577994799998123,True
sparse,33,0.1566369314731994,0.12303143853797327,0.9573491774440028,0.9608492291109272,0.968478672407867,0.7717103350103875,1.9613833744157467,0.001,29.256410599977244,False
sparse,34,0.1460993202994286,0.11836993450623119,0.9567799773557356,0.9676919523415395,0.9709526846356543,0.8024923649732553,1.8565308950244124,0.001,26.21414289996028,True
sparse,35,0.15132371450357981,0.12165971682316883,0.95823597468297,0.9652378110984928,0.9685548104982705,0.8324802469062732,inf,0.001,28.842047700018156,False
sparse,36,0.14337264727818408,0.12027095028234946,0.9582071022147245,0.9668931534271361,0.9696942054593304,0.838905068777989,1.8633151496387232,0.001,28.75351440004306,False
sparse,37,0.14292099056527252,0.11941049487632596,0.9583390906409894,0.9670856350932574,0.9694944279862133,0.8769059340536821,1.9107232949213138,0.001,29.164582999947015,False
sparse,38,0.1441062919724202,0.11604839285555867,0.9589082907292567,0.9704636883336862,0.970876952260152,0.7896935375067962,2.0571597732509237,0.001,29.351590700040106,True
sparse,39,0.14448116083340085,0.11813095207106787,0.9597559039041764,0.9684811271726368,0.9714181075141916,0.8210946627822383,1.8791294431054517,0.001,29.140963400015607,False
sparse,40,0.1385960424260494,0.11264093273123531,0.9599435749477717,0.9706754181664197,0.9713337044218835,0.883553376434793,1.8247157244349708,0.001,29.79477020003833,True
