method,epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_balanced_accuracy,val_macro_f1,mean_gradient_norm,learning_rate,epoch_seconds,checkpoint_saved
kaiming_uniform,1,0.715613654815496,0.47572659186453403,0.7849269217205517,0.8580447712355398,0.7252424804043995,0.4807970273243795,inf,0.001,28.506943300017156,True
kaiming_uniform,2,0.48765874552668625,0.43418497142577345,0.860411927629096,0.8866282986545532,0.7333989809308011,0.5197596645932742,1.3048708017616835,0.001,28.702307600004133,True
kaiming_uniform,3,0.44182880632333404,0.36900829400426166,0.8778673970026253,0.8909206398090582,0.7372035569999255,0.5177675979335524,1.2593169164556994,0.001,28.663028199982364,True
kaiming_uniform,4,0.4078213910256791,0.3661400127792474,0.8839904225898192,0.9014782591958116,0.7446039154682832,0.526370997801626,1.2066043653694387,0.001,31.626600199961103,True
kaiming_uniform,5,0.38754457704450407,0.3546057404896877,0.8910497410758295,0.9057321040170924,0.7488598701303347,0.5414405117449991,inf,0.001,31.836978400009684,True
kaiming_uniform,6,0.37088234050181146,0.3535891251360567,0.8938359342615144,0.903172097857679,0.7512473658020555,0.5310556274595828,1.2265554764602757,0.001,28.349647500028368,True
kaiming_uniform,7,0.3784904443594409,0.3194353254653032,0.8978223971985456,0.9083787269262603,0.7681556027992388,0.566068578006532,1.2389206527280405,0.001,28.73718369996641,True
kaiming_uniform,8,0.3433523160024026,0.28073422218332567,0.9011406687276109,0.9076280484283872,0.7773224601084024,0.5561849571350409,1.194002663661659,0.001,28.881555399973877,True
kaiming_uniform,9,0.3468074221625144,0.3024087970133771,0.9024646776285804,0.9079456431774874,0.7591746600858772,0.5539067425566476,inf,0.001,32.59998560004169,False
kaiming_uniform,10,0.32194717153060337,0.30258591441867866,0.9066202507367636,0.9170019055684946,0.7814900279136391,0.5895468437960926,1.240688328815915,0.001,28.974789700005203,False
kaiming_uniform,11,0.3030521387378954,0.23638068465638765,0.9084515901511886,0.9154813004061363,0.7807534511832221,0.5864531781270493,1.3154288590708865,0.001,31.445320200000424,True
kaiming_uniform,12,0.28161517936741576,0.2586468380986652,0.9101076324369807,0.9195522876446018,0.782967378574452,0.5956398675843121,1.3915161700439855,0.001,31.541588100022636,False
kaiming_uniform,13,0.2925953664327151,0.20974656689628918,0.9122524443637848,0.9184840143976286,0.7830442712747648,0.596356611841205,1.4675581543883192,0.001,32.43642179999733,True
kaiming_uniform,14,0.2562842222886928,0.24555097800890086,0.914370446141504,0.9193983023117048,0.782587489424183,0.5977926409443207,1.2118429513294486,0.001,30.742602800019085,False
kaiming_uniform,15,0.26363749716210355,0.22031432725276176,0.9167977957932814,0.9291571227840548,0.785546341352133,0.597540467606786,1.4148302627137945,0.001,28.930132400011644,False
kaiming_uniform,16,0.2577376540299158,0.19793336782797702,0.9194643744676638,0.9279444882874907,0.7857784604554224,0.5997126352332992,1.4474352417427276,0.001,30.972451400011778,True
kaiming_uniform,17,0.2316314503649022,0.1730382908465137,0.9223268734622833,0.9307547206128616,0.9551654557808896,0.6506393744035607,1.317229039306882,0.001,31.225938499963377,True
kaiming_uniform,18,0.20976842666640155,0.16999775963362113,0.9243623824735868,0.9294073489500125,0.9531637465243817,0.6481378436379257,1.3659475312768659,0.001,30.651536700024735,True
kaiming_uniform,19,0.2179000913091746,0.16223826558140705,0.9265979364434481,0.9313417896945316,0.9568467631733872,0.7056831305384011,inf,0.001,29.267237499996554,True
kaiming_uniform,20,0.21199731447709194,0.16971305279617666,0.9312505284692848,0.9307932169460859,0.9526888277193871,0.700914983959963,1.4577596434686757,0.001,32.82387319998816,False
kaiming_uniform,21,0.19918515796669894,0.15222787018336523,0.9320321474310721,0.9328431466902778,0.9551096150337899,0.7113192864035064,1.2935844584985121,0.001,30.071501600032207,True
kaiming_uniform,22,0.1877851582526072,0.15058315348920492,0.9346719159563696,0.9442958058244952,0.9603520833504362,0.7810980272659505,1.2402376518172176,0.001,29.93415680003818,True
kaiming_uniform,23,0.19131705699160786,0.1482650261201168,0.9369569655860802,0.9629280311050372,0.9582750857721134,0.7756169399279121,1.2505786367043663,0.001,29.844637500005774,True
kaiming_uniform,24,0.18891905644290152,0.14816668679380895,0.9401123139014748,0.943814601659192,0.9552367432501375,0.72255519962724,1.3242462285271677,0.001,32.06451359996572,True
kaiming_uniform,25,0.17612883118851527,0.14416133116382107,0.9408031908202049,0.9590014051161627,0.9627504781490027,0.722830742143164,1.1142103098065668,0.001,30.512590600003023,True
kaiming_uniform,26,0.17595132722836687,0.1438219206859372,0.944263762371337,0.950330106057398,0.9587048043140302,0.7378342966315624,inf,0.001,31.137532000022475,True
kaiming_uniform,27,0.1769794140179424,0.13946296912980002,0.9428139520015839,0.9615999076088002,0.9594903525679949,0.7797679613777596,1.1834723502083166,0.001,30.254149599990342,True
kaiming_uniform,28,0.18071588414862674,0.141744455031967,0.944533926181348,0.945142725155429,0.960898112280395,0.693059529352322,1.2329582588644974,0.001,32.65279319998808,False
kaiming_uniform,29,0.16996055856270534,0.1411168862310541,0.9460971641049225,0.9408407599176178,0.9564904400324833,0.7249995505807921,1.2246319447577252,0.001,29.132806600013282,False
kaiming_uniform,30,0.1765708922078031,0.14219295088715672,0.9457651307200999,0.9622832175235309,0.9598730741850429,0.8194762511462654,1.1955861220458515,0.001,30.980743399995845,False
kaiming_uniform,31,0.1864640395834332,0.14964022631572052,0.9469860236630501,0.9469520528169691,0.959990706975768,0.7248013894087992,inf,0.001,29.648553999955766,False
kaiming_uniform,32,0.16525427609631868,0.13494475604771783,0.9472046294940513,0.9623313379400612,0.9620756706574943,0.7740478275515525,1.2020102429521988,0.001,32.15525160002289,True
kaiming_uniform,33,0.17483551568610323,0.13741031237415677,0.9474356092400148,0.9709160202490713,0.9613749496385955,0.8327417161522869,1.3310524708265241,0.001,30.678192499966826,False
kaiming_uniform,34,0.16093619968109343,0.14081024365989755,0.9505579604488431,0.9552672607934094,0.9628887273708489,0.7185900430187857,1.2014154081354664,0.001,30.198544599988963,False
kaiming_uniform,35,0.16051573327325167,0.13395443686958852,0.9514674431985746,0.9577214020364561,0.9636086628357879,0.8037133109154544,1.2125687080235044,0.001,29.44528290000744,True
kaiming_uniform,36,0.15578198880890498,0.13255540920956435,0.9513416417297909,0.9521683059688565,0.9627929032544008,0.7745568817282975,1.1546771836070195,0.001,31.63298950000899,True
kaiming_uniform,37,0.1589088855836724,0.13042419183872167,0.9509786735575624,0.9588377956999595,0.9635552962720343,0.831270552216414,inf,0.001,28.809831499995198,True
kaiming_uniform,38,0.1687966167799808,0.13161380399219516,0.9521665693939463,0.9622062248570824,0.9647204332649583,0.7861706297345528,1.298727156633692,0.001,28.346892200002912,False
kaiming_uniform,39,0.15416612749811057,0.1319640846828881,0.951263273601696,0.9637364541027467,0.9649966804210073,0.8085088176038235,1.1607587792702365,0.001,27.997477800003253,False
kaiming_uniform,40,0.16206102703213954,0.12915078253646725,0.9519644621162282,0.9591553904490597,0.963688020613235,0.7775307370150712,1.3813931559318606,0.001,31.75452299998142,True
kaiming_uniform,41,0.15489217754780543,0.1298256250287613,0.9527832028229025,0.9622158489403885,0.9644173307972138,0.7945178021467293,1.1384652752334936,0.001,29.579428900033236,False
